"id","subdistrict_id","postcode"
"349","239","70239"
"360","240","70121"
"361","240","70122"
"357","240","70123"
"359","240","70124"
"356","240","70125"
"355","240","70126"
"358","240","70127"
"364","241","71311"
"365","241","71312"
"366","241","71313"
"363","241","71314"
"362","241","71315"
"367","242","71381"
"368","243","71371"
"369","244","71391"
"370","245","71363"
"371","246","71361"
"372","247","71362"
"373","248","71352"
"374","249","71372"
"375","250","71391"
"376","251","71382"
"382","252","71211"
"377","252","71213"
"381","252","71214"
"379","252","71215"
"380","252","71216"
"378","252","71217"
"383","253","71291"
"384","254","71252"
"385","255","71253"
"386","256","71262"
"387","257","71282"
"388","258","71281"
"389","259","71261"
"390","260","71271"
"391","261","71292"
"392","262","71252"
"393","263","72163"
"394","264","72165"
"395","265","72164"
"396","266","72162"
"397","267","72161"
"398","268","72169"
"399","269","72168"
"400","270","72154"
"401","271","72153"
"402","272","72152"
"403","273","72181"
"404","274","72155"
"405","275","72166"
"406","276","72167"
"411","277","72111"
"408","277","72112"
"412","277","72113"
"410","277","72114"
"407","277","72115"
"409","277","72116"
"413","277","72117"
"414","278","72156"
"415","279","72154"
"416","280","72169"
"417","281","72161"
"418","282","72164"
"419","282","72167"
"420","283","72153"
"423","284","71512"
"424","284","71513"
"421","284","71514"
"422","284","71515"
"425","285","71553"
"426","285","72167"
"427","286","71572"
"428","287","71574"
"429","288","71552"
"430","289","71555"
"431","290","71573"
"432","291","71571"
"433","292","71554"
"434","293","71561"
"435","294","71575"
"436","295","71572"
"439","296","70731"
"437","296","70732"
"438","296","70733"
"440","296","70734"
"442","297","70721"
"441","297","70724"
"443","298","70722"
"445","298","70723"
"444","298","70724"
"446","299","70714"
"447","300","70713"
"448","300","70714"
"449","301","71471"
"450","302","71452"
"451","303","71454"
"452","304","71453"
"453","305","71455"
"455","306","71412"
"458","306","71413"
"456","306","71414"
"459","306","71417"
"457","306","71418"
"454","306","71419"
"460","307","71416"
"461","308","71455"
"462","309","71453"
"463","310","71471"
"464","311","70511"
"465","311","70513"
"466","312","70582"
"467","313","70565"
"468","314","70564"
"469","315","70562"
"470","316","70563"
"471","317","70571"
"472","318","70552"
"473","319","70581"
"474","320","70568"
"475","321","70561"
"476","322","70567"
"477","323","70553"
"478","324","70566"
"480","325","70512"
"479","325","70513"
"481","326","70562"
"482","327","70581"
"487","328","70611"
"484","328","70612"
"491","328","70613"
"485","328","70614"
"486","328","70615"
"489","328","70616"
"488","328","70617"
"483","328","70619"
"490","328","71213"
"492","329","70655"
"493","330","70671"
"494","331","70652"
"495","332","70661"
"496","333","70654"
"497","334","70674"
"498","335","70653"
"499","336","70675"
"500","337","70671"
"501","338","70672"
"502","339","70673"
"503","340","70654"
"504","341","70674"
"505","342","70675"
"506","343","70617"
"507","344","70618"
"508","345","70655"
"510","346","70653"
"509","346","70673"
"513","347","70812"
"512","347","70814"
"511","347","70815"
"514","348","70852"
"515","349","70881"
"516","350","70883"
"517","351","70853"
"518","352","70871"
"519","353","70861"
"520","354","70882"
"521","355","70854"
"522","356","70815"
"523","357","70853"
"524","358","71152"
"525","359","71183"
"526","360","71153"
"527","361","71171"
"528","362","71162"
"529","363","71184"
"530","364","71154"
"531","365","71191"
"532","366","71185"
"533","367","71161"
"534","368","71181"
"538","369","71111"
"537","369","71112"
"536","369","71113"
"535","369","71114"
"539","370","73871"
"540","371","73862"
"541","372","73852"
"542","373","73861"
"543","374","73881"
"546","375","73811"
"545","375","73812"
"544","375","73814"
"547","376","73852"
"548","377","73814"
"551","378","73813"
"550","378","73814"
"549","378","73881"
"552","379","73681"
"553","380","73661"
"554","381","73652"
"555","382","73671"
"556","383","73653"
"561","384","73612"
"562","384","73613"
"559","384","73614"
"560","384","73615"
"558","384","73617"
"557","384","73618"
"563","385","73652"
"564","386","73617"
"565","387","73652"
"566","388","73652"
"567","389","73991"
"568","390","73971"
"569","391","73981"
"570","392","73961"
"571","393","73911"
"572","394","73991"
"573","395","73981"
"574","396","73971"
"575","397","73961"
"576","398","73981"
"577","399","73762"
"578","400","73752"
"579","401","73763"
"580","402","73761"
"582","403","73711"
"583","403","73712"
"581","403","73713"
"584","403","73751"
"585","404","73753"
"588","405","71614"
"587","405","71616"
"586","405","71662"
"589","406","71664"
"590","407","71663"
"591","408","71666"
"592","409","71665"
"593","410","71661"
"596","411","71617"
"595","411","71618"
"594","411","71662"
"597","412","71664"
"604","413","72211"
"601","413","72214"
"600","413","72215"
"602","413","72216"
"605","413","72217"
"603","413","72218"
"598","413","72271"
"599","413","72273"
"606","414","72273"
"607","415","72272"
"608","416","72275"
"609","417","72274"
"610","418","72211"
"611","419","72272"
"612","419","72274"
"613","420","72211"
"614","421","72275"
"617","422","72211"
"616","422","72212"
"615","422","72213"
"618","423","40614"
"619","423","40615"
"620","424","40611"
"623","424","40616"
"621","424","40617"
"624","424","40618"
"622","424","40619"
"627","425","40151"
"628","425","40152"
"625","425","40153"
"626","425","40154"
"629","426","40291"
"631","427","40141"
"630","427","40142"
"632","427","40143"
"635","428","40261"
"633","428","40262"
"636","428","40263"
"637","428","40264"
"634","428","40265"
"641","429","40181"
"639","429","40182"
"640","429","40183"
"638","429","40184"
"642","430","40293"
"643","430","40294"
"644","431","40241"
"646","431","40242"
"645","431","40243"
"652","432","40221"
"647","432","40222"
"648","432","40223"
"650","432","40224"
"651","432","40225"
"649","432","40227"
"656","433","40256"
"653","433","40266"
"655","433","40267"
"654","433","40287"
"661","434","40211"
"657","434","40212"
"660","434","40213"
"658","434","40214"
"659","434","40215"
"662","435","40114"
"663","435","40115"
"664","435","40116"
"667","436","40271"
"669","436","40272"
"666","436","40273"
"668","436","40274"
"665","436","40275"
"671","437","40231"
"670","437","40232"
"672","437","40233"
"678","438","40234"
"676","438","40235"
"673","438","40236"
